customer,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
Aaron Bergman,415,3,887,4,4,4,444
Aaron Hawkins,12,7,1744,1,2,3,123
Aaron Smayling,88,7,3050,3,2,2,322
Adam Bellavance,54,8,7756,2,2,1,221
Adam Hart,34,10,3249,2,1,2,212
Adam Shillingsburg,28,9,3256,1,1,2,112
Adrian Barton,41,10,14474,2,1,1,211
Adrian Hane,60,7,1734,2,2,3,223
Adrian Shami,41,2,59,2,4,4,244
Aimee Bixby,41,5,968,2,4,4,244
Alan Barnes,25,8,1114,1,2,4,124
Alan Dominguez,29,8,6107,1,2,1,121
Alan Haines,55,4,1587,2,4,3,243
Alan Hwang,6,9,4806,1,1,1,111
Alan Schoenberger,22,5,4261,1,4,1,141
Alan Shonely,192,7,585,4,2,4,424
Alejandro Ballentine,166,9,914,3,1,4,314
Alejandro Grove,278,5,2584,4,4,2,442
Alejandro Savely,19,6,3214,1,3,2,132
Aleksandra Gannaway,118,4,368,3,4,4,344
Alex Avila,184,5,5564,4,4,1,441
Alex Grayson,8,5,662,1,4,4,144
Alex Russell,111,4,1056,3,4,4,344
Alice McCarthy,28,5,814,1,4,4,144
Allen Armold,19,9,1057,1,1,4,114
Allen Goldenen,114,5,201,3,4,4,344
Allen Rosenblatt,125,5,2236,3,4,3,343
Alyssa Crouse,232,3,926,4,4,4,444
Alyssa Tate,21,6,1171,1,3,3,133
Amy Cox,11,7,5528,1,2,1,121
Amy Hunt,230,5,2496,4,4,2,442
Andrew Allen,259,4,1791,4,4,3,443
Andrew Gjertsen,78,8,2356,3,2,2,322
Andrew Roberts,14,5,265,1,4,4,144
Andy Gerbode,845,4,1456,4,4,3,443
Andy Reiter,6,6,6609,1,3,1,131
Andy Yotov,14,4,497,1,4,4,144
Anemone Ratner,534,1,88,4,4,4,444
Angele Hood,21,4,738,1,4,4,144
Ann Blume,50,4,1515,2,4,3,243
Ann Chong,6,5,2538,1,4,2,142
Ann Steele,92,7,833,3,2,4,324
Anna Andreadi,55,6,5087,2,3,1,231
Anna Chung,282,5,658,4,4,4,444
Anna Gayman,97,7,3488,3,2,2,322
Anna HŠberlin,410,12,7888,4,1,1,411
Anne McFarland,162,8,5664,3,2,1,321
Anne Pryor,41,8,1638,2,2,3,223
Annie Thurman,13,10,3831,1,1,1,111
Annie Zypern,160,6,1623,3,3,3,333
Anthony Garverick,77,4,171,3,4,4,344
Anthony Jacobs,75,7,4868,2,2,1,221
Anthony Johnson,166,7,4502,3,2,1,321
Anthony O'Donnell,501,1,161,4,4,4,444
Anthony Rawles,58,8,4523,2,2,1,221
Anthony Witt,20,4,649,1,4,4,144
Arianne Irving,13,10,4376,1,1,1,111
Art Ferguson,41,7,2052,2,2,3,223
Art Foster,415,4,862,4,4,4,444
Arthur Gainer,96,10,4511,3,1,1,311
Arthur Prichep,98,10,3324,3,1,2,312
Arthur Wiediger,46,7,2853,2,2,2,222
Ashley Jarboe,85,7,1838,3,2,3,323
Astrea Jones,74,3,629,2,4,4,244
Barbara Fisher,91,7,600,3,2,4,324
Barry Blumstein,105,5,744,3,4,4,344
Barry Franz,39,4,1334,2,4,3,243
Barry Franzšsisch,74,8,2889,2,2,2,222
Barry Gonzalez,28,8,2799,1,2,2,122
Barry Pond,83,5,983,3,4,4,344
Barry Weirich,212,3,386,4,4,4,444
Bart Folk,25,3,274,1,4,4,144
